Year,OrgCode,OrgName,OrgType,VacCode,Value
2009-10,E12000008,South East,Region,Cohort_12m,104123.0000000000000
2009-10,E12000008,South East,Region,Cohort_24m,104655.0000000000000
2009-10,E12000008,South East,Region,Cohort_5y,97834.0000000000000
2009-10,E12000008,South East,Region,DTaP_IPV_5y,86.7162745057955
2009-10,E12000008,South East,Region,DTaP_IPV_Hib_12m,94.1175340702823
2009-10,E12000008,South East,Region,DTaP_IPV_Hib_24m,95.7880655487077
2009-10,E12000008,South East,Region,Hib_MenC_24m,89.0411351583775
2009-10,E12000008,South East,Region,MMR_24m,89.4625197076107
2009-10,E12000008,South East,Region,MMR1_5y,90.7199950937302
2009-10,E12000008,South East,Region,MMR2_5y,82.5663879632847
2009-10,E12000008,South East,Region,PCV_12m,93.7180065883618
2009-10,E12000008,South East,Region,PCV_24m,88.9532272705556
2009-10,E12000009,South West,Region,Cohort_12m,57706.0000000000000
2009-10,E12000009,South West,Region,Cohort_24m,58051.0000000000000
2009-10,E12000009,South West,Region,Cohort_5y,53800.0000000000000
2009-10,E12000009,South West,Region,DTaP_IPV_5y,88.6858736059480
2009-10,E12000009,South West,Region,DTaP_IPV_Hib_12m,95.1356877967629
2009-10,E12000009,South West,Region,DTaP_IPV_Hib_24m,96.5807704870124
2009-10,E12000009,South West,Region,Hib_MenC_24m,91.5281390501456
2009-10,E12000009,South West,Region,MMR_24m,89.0993794158601
2009-10,E12000009,South West,Region,MMR1_5y,92.3903345724907
2009-10,E12000009,South West,Region,MMR2_5y,84.9944237918216
2009-10,E12000009,South West,Region,PCV_12m,94.9883894222438
2009-10,E12000009,South West,Region,PCV_24m,89.7176620557785
2009-10,E92000001,England,Country,Cohort_12m,664779.0000000000000
2009-10,E92000001,England,Country,Cohort_24m,662217.0000000000000
2009-10,E92000001,England,Country,Cohort_5y,608148.0000000000000
2009-10,E92000001,England,Country,DTaP_IPV_5y,84.7964549113974
2009-10,E92000001,England,Country,DTaP_IPV_Hib_12m,93.6111457883678
2009-10,E92000001,England,Country,DTaP_IPV_Hib_24m,95.2937854898639
2009-10,E92000001,England,Country,Hib_MenC_24m,90.0310566977234
2009-10,E92000001,England,Country,MMR_24m,88.1838097524372
2009-10,E92000001,England,Country,MMR1_5y,91.0095645727830
2009-10,E92000001,England,Country,MMR2_5y,82.6892574019011
2009-10,E92000001,England,Country,PCV_12m,92.8505356758781
2009-10,E92000001,England,Country,PCV_24m,87.5675071753503
2009-10,K02000001,United Kingdom,UK,Cohort_12m,783723.0000000000000
2009-10,K02000001,United Kingdom,UK,Cohort_24m,780239.0000000000000
2009-10,K02000001,United Kingdom,UK,Cohort_5y,718456.0000000000000
2009-10,K02000001,United Kingdom,UK,DTaP_IPV_5y,85.8214003362767
2009-10,K02000001,United Kingdom,UK,DTaP_IPV_Hib_12m,94.1486979455752
2009-10,K02000001,United Kingdom,UK,DTaP_IPV_Hib_24m,95.7268221660286
2009-10,K02000001,United Kingdom,UK,Hib_MenC_24m,90.6272308869462
2009-10,K02000001,United Kingdom,UK,MMR_24m,88.9162166977042
2009-10,K02000001,United Kingdom,UK,MMR1_5y,91.6846682329885
2009-10,K02000001,United Kingdom,UK,MMR2_5y,83.6268330976427
2009-10,K02000001,United Kingdom,UK,PCV_12m,93.4706522585148
2009-10,K02000001,United Kingdom,UK,PCV_24m,88.6292533441676
2009-10,N92000002,Northern Ireland,Country,Cohort_12m,24955.0000000000000
2009-10,N92000002,Northern Ireland,Country,Cohort_24m,24679.0000000000000
2009-10,N92000002,Northern Ireland,Country,Cohort_5y,22787.0000000000000
2009-10,N92000002,Northern Ireland,Country,DTaP_IPV_5y,91.9296089875806
2009-10,N92000002,Northern Ireland,Country,DTaP_IPV_Hib_12m,97.7719895812462
2009-10,N92000002,Northern Ireland,Country,DTaP_IPV_Hib_24m,98.5291138214676
2009-10,N92000002,Northern Ireland,Country,Hib_MenC_24m,93.8530734632684
2009-10,N92000002,Northern Ireland,Country,MMR_24m,92.1512216864541
2009-10,N92000002,Northern Ireland,Country,MMR1_5y,96.0328257339711
2009-10,N92000002,Northern Ireland,Country,MMR2_5y,89.9196910519156
2009-10,N92000002,Northern Ireland,Country,PCV_12m,97.5435784411941
2009-10,N92000002,Northern Ireland,Country,PCV_24m,92.8076502289396
2009-10,S92000003,Scotland,Country,Cohort_12m,59295.0000000000000
2009-10,S92000003,Scotland,Country,Cohort_24m,58763.0000000000000
2009-10,S92000003,Scotland,Country,Cohort_5y,55054.0000000000000
2009-10,S92000003,Scotland,Country,DTaP_IPV_5y,91.9097600000000
2009-10,S92000003,Scotland,Country,DTaP_IPV_Hib_12m,97.4095600000000
2009-10,S92000003,Scotland,Country,DTaP_IPV_Hib_24m,98.3765300000000
2009-10,S92000003,Scotland,Country,Hib_MenC_24m,93.9775100000000
2009-10,S92000003,Scotland,Country,MMR_24m,93.7443600000000
2009-10,S92000003,Scotland,Country,MMR1_5y,96.2455100000000
2009-10,S92000003,Scotland,Country,MMR2_5y,89.7300900000000
2009-10,S92000003,Scotland,Country,PCV_12m,97.2240500000000
2009-10,S92000003,Scotland,Country,PCV_24m,94.2208600000000
2009-10,W92000004,Wales,Country,Cohort_12m,34694.0000000000000
2009-10,W92000004,Wales,Country,Cohort_24m,34580.0000000000000
2009-10,W92000004,Wales,Country,Cohort_5y,32467.0000000000000
2009-10,W92000004,Wales,Country,DTaP_IPV_5y,90.0883900000000
2009-10,W92000004,Wales,Country,DTaP_IPV_Hib_12m,96.2154800000000
2009-10,W92000004,Wales,Country,DTaP_IPV_Hib_24m,97.4725300000000
2009-10,W92000004,Wales,Country,Hib_MenC_24m,93.8663900000000
2009-10,W92000004,Wales,Country,MMR_24m,92.1775600000000
2009-10,W92000004,Wales,Country,MMR1_5y,93.4364200000000
2009-10,W92000004,Wales,Country,MMR2_5y,86.1367000000000
2009-10,W92000004,Wales,Country,PCV_12m,95.9503000000000
2009-10,W92000004,Wales,Country,PCV_24m,96.2637300000000
2010-11,E12000001,North East,Region,Cohort_12m,29099.0000000000000
2010-11,E12000001,North East,Region,Cohort_24m,28894.0000000000000
2010-11,E12000001,North East,Region,Cohort_5y,27394.0000000000000
2010-11,E12000001,North East,Region,DTaP_IPV_5y,90.4869679491860
2010-11,E12000001,North East,Region,DTaP_IPV_Hib_12m,95.8967662118973
2010-11,E12000001,North East,Region,DTaP_IPV_Hib_24m,97.3696961306846
2010-11,E12000001,North East,Region,Hib_MenC_24m,94.6390254031979
2010-11,E12000001,North East,Region,MMR_24m,91.4342077940057
2010-11,E12000001,North East,Region,MMR1_5y,94.3819814557932
2010-11,E12000001,North East,Region,MMR2_5y,88.6800029203475
2010-11,E12000001,North East,Region,PCV_12m,95.5187463486718
2010-11,E12000001,North East,Region,PCV_24m,93.2096629057936
2010-11,E12000002,North West,Region,Cohort_12m,89643.0000000000000
2010-11,E12000002,North West,Region,Cohort_24m,89470.0000000000000
2010-11,E12000002,North West,Region,Cohort_5y,84387.0000000000000
2010-11,E12000002,North West,Region,DTaP_IPV_5y,88.1877540379442
2010-11,E12000002,North West,Region,DTaP_IPV_Hib_12m,95.0626373503787
2010-11,E12000002,North West,Region,DTaP_IPV_Hib_24m,96.8447524309825
2010-11,E12000002,North West,Region,Hib_MenC_24m,93.2893707387951
2010-11,E12000002,North West,Region,MMR_24m,91.1858723594501
2010-11,E12000002,North West,Region,MMR1_5y,94.3036249659308
2010-11,E12000002,North West,Region,MMR2_5y,86.4398544799554
2010-11,E12000002,North West,Region,PCV_12m,94.7145900962708
2010-11,E12000002,North West,Region,PCV_24m,91.2093439141612
2010-11,E12000003,Yorkshire & the Humber,Region,Cohort_12m,66408.0000000000000
2010-11,E12000003,Yorkshire & the Humber,Region,Cohort_24m,66108.0000000000000
2010-11,E12000003,Yorkshire & the Humber,Region,Cohort_5y,62121.0000000000000
2010-11,E12000003,Yorkshire & the Humber,Region,DTaP_IPV_5y,88.0282030231323
2010-11,E12000003,Yorkshire & the Humber,Region,DTaP_IPV_Hib_12m,95.4644018792917
2010-11,E12000003,Yorkshire & the Humber,Region,DTaP_IPV_Hib_24m,96.7916137229987
2010-11,E12000003,Yorkshire & the Humber,Region,Hib_MenC_24m,94.2321655472863
2010-11,E12000003,Yorkshire & the Humber,Region,MMR_24m,90.7469595207842
2010-11,E12000003,Yorkshire & the Humber,Region,MMR1_5y,93.5931488546546
2010-11,E12000003,Yorkshire & the Humber,Region,MMR2_5y,86.9721994172663
2010-11,E12000003,Yorkshire & the Humber,Region,PCV_12m,94.6587760510782
2010-11,E12000003,Yorkshire & the Humber,Region,PCV_24m,91.5048103104012
2010-11,E12000004,East Midlands,Region,Cohort_12m,53728.0000000000000
2010-11,E12000004,East Midlands,Region,Cohort_24m,53595.0000000000000
2010-11,E12000004,East Midlands,Region,Cohort_5y,50144.0000000000000
2010-11,E12000004,East Midlands,Region,DTaP_IPV_5y,88.8560944479898
2010-11,E12000004,East Midlands,Region,DTaP_IPV_Hib_12m,95.4046307325789
2010-11,E12000004,East Midlands,Region,DTaP_IPV_Hib_24m,97.0986099449576
2010-11,E12000004,East Midlands,Region,Hib_MenC_24m,93.9080138072581
2010-11,E12000004,East Midlands,Region,MMR_24m,90.6073327735796
2010-11,E12000004,East Midlands,Region,MMR1_5y,93.6044192724952
2010-11,E12000004,East Midlands,Region,MMR2_5y,86.6624122527122
2010-11,E12000004,East Midlands,Region,PCV_12m,94.9691036331150
2010-11,E12000004,East Midlands,Region,PCV_24m,91.4581584102995
2010-11,E12000005,West Midlands,Region,Cohort_12m,69043.0000000000000
2010-11,E12000005,West Midlands,Region,Cohort_24m,69418.0000000000000
2010-11,E12000005,West Midlands,Region,Cohort_5y,62589.0000000000000
2010-11,E12000005,West Midlands,Region,DTaP_IPV_5y,90.2538784770487
2010-11,E12000005,West Midlands,Region,DTaP_IPV_Hib_12m,94.7786162246716
2010-11,E12000005,West Midlands,Region,DTaP_IPV_Hib_24m,97.3076147396929
2010-11,E12000005,West Midlands,Region,Hib_MenC_24m,93.5866778069089
2010-11,E12000005,West Midlands,Region,MMR_24m,91.5353366561987
2010-11,E12000005,West Midlands,Region,MMR1_5y,93.9526114812507
2010-11,E12000005,West Midlands,Region,MMR2_5y,87.3747783156785
2010-11,E12000005,West Midlands,Region,PCV_12m,94.4382486276668
2010-11,E12000005,West Midlands,Region,PCV_24m,92.4558471866087
2010-11,E12000006,East of England,Region,Cohort_12m,72780.0000000000000
2010-11,E12000006,East of England,Region,Cohort_24m,72873.0000000000000
2010-11,E12000006,East of England,Region,Cohort_5y,68645.0000000000000
2010-11,E12000006,East of England,Region,DTaP_IPV_5y,87.2357782795542
2010-11,E12000006,East of England,Region,DTaP_IPV_Hib_12m,94.8048914536961
2010-11,E12000006,East of England,Region,DTaP_IPV_Hib_24m,96.2976685466496
2010-11,E12000006,East of England,Region,Hib_MenC_24m,93.3734030436513
2010-11,E12000006,East of England,Region,MMR_24m,88.6707010827055
2010-11,E12000006,East of England,Region,MMR1_5y,89.6307087187705
2010-11,E12000006,East of England,Region,MMR2_5y,84.5189015951635
2010-11,E12000006,East of England,Region,PCV_12m,94.3665842264358
2010-11,E12000006,East of England,Region,PCV_24m,90.0278566821731
2010-11,E12000007,London,Region,Cohort_12m,129326.0000000000000
2010-11,E12000007,London,Region,Cohort_24m,125723.0000000000000
2010-11,E12000007,London,Region,Cohort_5y,112111.0000000000000
2010-11,E12000007,London,Region,DTaP_IPV_5y,74.7312930934520
2010-11,E12000007,London,Region,DTaP_IPV_Hib_12m,90.7319487187418
2010-11,E12000007,London,Region,DTaP_IPV_Hib_24m,92.8501547051852
2010-11,E12000007,London,Region,Hib_MenC_24m,84.8842296159016
2010-11,E12000007,London,Region,MMR_24m,83.7507854569172
2010-11,E12000007,London,Region,MMR1_5y,88.1661924342839
2010-11,E12000007,London,Region,MMR2_5y,76.6204921907752
2010-11,E12000007,London,Region,PCV_12m,89.5836877348716
2010-11,E12000007,London,Region,PCV_24m,82.3954248625948
2010-11,E12000008,South East,Region,Cohort_12m,105438.0000000000000
2010-11,E12000008,South East,Region,Cohort_24m,105266.0000000000000
2010-11,E12000008,South East,Region,Cohort_5y,98186.0000000000000
2010-11,E12000008,South East,Region,DTaP_IPV_5y,87.0225897785835
2010-11,E12000008,South East,Region,DTaP_IPV_Hib_12m,94.4744778922210
2010-11,E12000008,South East,Region,DTaP_IPV_Hib_24m,96.0272072654038
2010-11,E12000008,South East,Region,Hib_MenC_24m,91.6696749187772
2010-11,E12000008,South East,Region,MMR_24m,89.8371743962913
2010-11,E12000008,South East,Region,MMR1_5y,91.3409243680362
2010-11,E12000008,South East,Region,MMR2_5y,83.8856863503962
